Category,Product,Month/Year,Projected Sales,Actual Sales,Actual Purchases
Home & Kitchen,Product_4,Jun/2022,1147,1114,1066
Home & Kitchen,Product_4,Jul/2022,1871,1892,1853
Home & Kitchen,Product_4,Aug/2022,1043,1148,1081
Home & Kitchen,Product_4,Sep/2022,1875,1882,1899
Home & Kitchen,Product_4,Oct/2022,1147,921,823
Home & Kitchen,Product_4,Nov/2022,1438,1714,1639
Home & Kitchen,Product_4,Dec/2022,650,900,854
Home & Kitchen,Product_4,Jan/2023,1536,1507,1440
Home & Kitchen,Product_4,Feb/2023,1214,984,946
Home & Kitchen,Product_4,Mar/2023,1256,1247,1187
Home & Kitchen,Product_4,Apr/2023,1397,1653,1733
Home & Kitchen,Product_4,May/2023,1119,1360,1262
Home & Kitchen,Product_4,Jun/2023,1867,2134,2110
Home & Kitchen,Product_4,Jul/2023,1858,1664,1598
Home & Kitchen,Product_4,Aug/2023,1041,859,786
Home & Kitchen,Product_4,Sep/2023,1633,1492,1461
Home & Kitchen,Product_4,Oct/2023,1077,992,1075
Home & Kitchen,Product_4,Nov/2023,1202,1110,1185
Home & Kitchen,Product_5,Jan/2022,1798,1768,1797
Home & Kitchen,Product_5,Jan/2022,1500,1457,1370
Home & Kitchen,Product_5,Mar/2022,689,822,792
Home & Kitchen,Product_5,Apr/2022,590,293,278
Home & Kitchen,Product_5,May/2022,767,735,676
Home & Kitchen,Product_5,May/2022,1404,1668,1748
Home & Kitchen,Product_5,Jun/2022,1375,1649,1551
Home & Kitchen,Product_5,Jul/2022,729,506,582
Home & Kitchen,Product_5,Aug/2022,805,1063,972
Home & Kitchen,Product_5,Sep/2022,1256,1552,1593
Home & Kitchen,Product_5,Oct/2022,803,943,875
Home & Kitchen,Product_5,Nov/2022,585,600,593
Home & Kitchen,Product_5,Dec/2022,581,647,600
Home & Kitchen,Product_5,Jan/2023,1896,1851,1921
Home & Kitchen,Product_5,Feb/2023,710,772,871
Home & Kitchen,Product_5,Mar/2023,1646,1762,1820
Home & Kitchen,Product_5,Apr/2023,816,758,699
Home & Kitchen,Product_5,May/2023,862,984,890
Home & Kitchen,Product_5,Jun/2023,867,907,1007
Home & Kitchen,Product_5,Jul/2023,1343,1297,1265
Home & Kitchen,Product_5,Aug/2023,826,636,633
Home & Kitchen,Product_5,Sep/2023,579,760,716
Home & Kitchen,Product_5,Oct/2023,908,1079,1068
Home & Kitchen,Product_5,Nov/2023,1125,1058,1015
Home & Kitchen,Product_6,Jan/2022,548,445,447
Home & Kitchen,Product_6,Jan/2022,1172,1157,1074
Home & Kitchen,Product_6,Mar/2022,1071,1130,1194
Home & Kitchen,Product_6,Apr/2022,1543,1652,1725
Home & Kitchen,Product_6,May/2022,1598,1637,1544
Home & Kitchen,Product_6,May/2022,736,703,648
Home & Kitchen,Product_6,Jun/2022,1689,1660,1569
Home & Kitchen,Product_6,Jul/2022,722,866,854
Home & Kitchen,Product_6,Aug/2022,1992,2013,2024
Home & Kitchen,Product_6,Sep/2022,1741,1964,1893
Home & Kitchen,Product_6,Oct/2022,1288,1578,1526
Home & Kitchen,Product_6,Nov/2022,1021,766,847
Home & Kitchen,Product_6,Dec/2022,1393,1094,1127
Home & Kitchen,Product_6,Jan/2023,1602,1503,1496
Home & Kitchen,Product_6,Feb/2023,1383,1154,1224
Home & Kitchen,Product_6,Mar/2023,1176,1197,1266
Home & Kitchen,Product_6,Apr/2023,755,762,791
Home & Kitchen,Product_6,May/2023,1133,1251,1234
Home & Kitchen,Product_6,Jun/2023,1324,1326,1367
Home & Kitchen,Product_6,Jul/2023,760,656,663
Home & Kitchen,Product_6,Aug/2023,1861,1949,2022
Home & Kitchen,Product_6,Sep/2023,856,1138,1115
Home & Kitchen,Product_6,Oct/2023,1331,1592,1492
Home & Kitchen,Product_6,Nov/2023,1122,1115,1068
Electronics,Product_7,Jan/2022,1380,1673,1728
Electronics,Product_7,Jan/2022,1840,1869,1888
Electronics,Product_7,Mar/2022,1404,1556,1628
Electronics,Product_7,Apr/2022,937,1160,1181
Electronics,Product_7,May/2022,847,633,605
Electronics,Product_7,May/2022,1555,1598,1521
Electronics,Product_7,Jun/2022,981,998,955
Electronics,Product_7,Jul/2022,907,757,663
Electronics,Product_7,Aug/2022,594,544,565
Electronics,Product_7,Sep/2022,1751,1525,1541
Electronics,Product_7,Oct/2022,1348,1637,1586
Electronics,Product_7,Nov/2022,1971,2064,2090
Electronics,Product_7,Dec/2022,1318,1267,1204
Electronics,Product_7,Jan/2023,1843,1548,1640
Electronics,Product_7,Feb/2023,718,853,809
Electronics,Product_7,Mar/2023,860,1090,1108
Electronics,Product_7,Apr/2023,602,872,835
Electronics,Product_7,May/2023,748,915,849
Electronics,Product_7,Jun/2023,1451,1694,1737
Electronics,Product_7,Jul/2023,1719,1743,1836
Electronics,Product_7,Aug/2023,1406,1622,1631
Electronics,Product_7,Sep/2023,1622,1778,1718
Electronics,Product_7,Oct/2023,1472,1632,1598
Electronics,Product_7,Nov/2023,1006,989,1085
Books,Product_8,Jan/2022,1567,1763,1823
Books,Product_8,Jan/2022,989,970,982
Books,Product_8,Mar/2022,658,650,610
Books,Product_8,Apr/2022,1056,1099,1080
Books,Product_8,May/2022,1606,1388,1323
Books,Product_8,May/2022,808,744,742
Books,Product_8,Jun/2022,1921,1777,1857
Books,Product_8,Jul/2022,938,703,709
Books,Product_8,Aug/2022,1334,1372,1410
Books,Product_8,Sep/2022,1454,1579,1494
Books,Product_8,Oct/2022,923,1053,1052
Books,Product_8,Nov/2022,1696,1416,1511
Books,Product_8,Dec/2022,1679,1768,1790
Books,Product_8,Jan/2023,512,572,548
Books,Product_8,Feb/2023,1298,1427,1464
Books,Product_8,Mar/2023,1618,1543,1567
Books,Product_8,Apr/2023,949,928,939
Books,Product_8,May/2023,1494,1223,1222
Books,Product_8,Jun/2023,1188,1302,1387
Books,Product_8,Jul/2023,838,1016,948
Books,Product_8,Aug/2023,1774,2020,1926
Books,Product_8,Sep/2023,1306,1583,1652
Books,Product_8,Oct/2023,555,340,404
Books,Product_8,Nov/2023,1377,1215,1233
Electronics,Product_9,Jan/2022,872,623,589
Electronics,Product_9,Jan/2022,1276,1311,1265
Electronics,Product_9,Mar/2022,1431,1465,1451
Electronics,Product_9,Apr/2022,1276,1260,1352
Electronics,Product_9,May/2022,1363,1321,1241
Electronics,Product_9,May/2022,1463,1182,1273
Electronics,Product_9,Jun/2022,1604,1357,1346
Electronics,Product_9,Jul/2022,959,729,828
Electronics,Product_9,Aug/2022,1834,1575,1668
Electronics,Product_9,Sep/2022,563,516,467
Electronics,Product_9,Oct/2022,541,397,358
Electronics,Product_9,Nov/2022,758,942,1013
Electronics,Product_9,Dec/2022,734,1011,966
Electronics,Product_9,Jan/2023,1452,1414,1510
Electronics,Product_9,Feb/2023,1255,1126,1181
Electronics,Product_9,Mar/2023,1743,1560,1659
Electronics,Product_9,Apr/2023,835,853,780
Electronics,Product_9,May/2023,1685,1411,1390
Electronics,Product_9,Jun/2023,1679,1763,1764
Electronics,Product_9,Jul/2023,1964,1867,1786
Electronics,Product_9,Aug/2023,1712,1660,1586
Electronics,Product_9,Sep/2023,1927,1935,2010
Electronics,Product_9,Oct/2023,1729,1552,1596
Electronics,Product_9,Nov/2023,584,639,675
Books,Product_10,Jan/2022,1377,1456,1373
Books,Product_10,Jan/2022,1536,1585,1488
Books,Product_10,Mar/2022,1360,1561,1488
Books,Product_10,Apr/2022,1387,1457,1519
Books,Product_10,May/2022,1441,1297,1308
Books,Product_10,May/2022,860,1094,1160
Books,Product_10,Jun/2022,1053,1304,1402
Books,Product_10,Jul/2022,1490,1666,1677
Books,Product_10,Aug/2022,1997,1971,1953
Books,Product_10,Sep/2022,1002,790,761
Books,Product_10,Oct/2022,1423,1372,1464
Books,Product_10,Nov/2022,1451,1734,1790
Books,Product_10,Dec/2022,1868,1956,1942
Books,Product_10,Jan/2023,558,764,747
Books,Product_10,Feb/2023,872,1071,1025
Books,Product_10,Mar/2023,1226,1190,1177
Books,Product_10,Apr/2023,1072,1054,1096
Books,Product_10,May/2023,520,749,697
Books,Product_10,Jun/2023,675,622,706
Books,Product_10,Jul/2023,1332,1532,1574
Books,Product_10,Aug/2023,992,1179,1244
Books,Product_10,Sep/2023,1957,2159,2173
Books,Product_10,Oct/2023,535,330,305
Books,Product_10,Nov/2023,953,1067,1144
Sports,Product_11,Jan/2022,998,1011,1080
Sports,Product_11,Jan/2022,1691,1768,1789
Sports,Product_11,Mar/2022,1633,1876,1864
Sports,Product_11,Apr/2022,1371,1634,1618
Sports,Product_11,May/2022,1220,1384,1353
Sports,Product_11,May/2022,1127,1084,1043
Sports,Product_11,Jun/2022,747,644,624
Sports,Product_11,Jul/2022,744,992,1087
Sports,Product_11,Aug/2022,1913,1802,1751
Sports,Product_11,Sep/2022,943,1138,1108
Sports,Product_11,Oct/2022,1983,2220,2272
Sports,Product_11,Nov/2022,1079,881,830
Sports,Product_11,Dec/2022,1106,1038,1030
Sports,Product_11,Jan/2023,867,876,779
Sports,Product_11,Feb/2023,1950,2196,2128
Sports,Product_11,Mar/2023,1061,807,720
Sports,Product_11,Apr/2023,1633,1632,1710
Sports,Product_11,May/2023,758,960,886
Sports,Product_11,Jun/2023,525,812,784
Sports,Product_11,Jul/2023,1461,1651,1663
Sports,Product_11,Aug/2023,1197,1085,998
Sports,Product_11,Sep/2023,1017,1206,1135
Sports,Product_11,Oct/2023,633,743,768
Sports,Product_11,Nov/2023,651,941,1002
Electronics,Product_12,Jan/2022,1905,1659,1597
Electronics,Product_12,Jan/2022,805,1081,1058
Electronics,Product_12,Mar/2022,674,628,558
Electronics,Product_12,Apr/2022,1642,1768,1823
Electronics,Product_12,May/2022,1720,1651,1749
Electronics,Product_12,May/2022,1570,1659,1674
Electronics,Product_12,Jun/2022,1406,1410,1460
Electronics,Product_12,Jul/2022,1378,1390,1435
Electronics,Product_12,Aug/2022,1771,1532,1588
Electronics,Product_12,Sep/2022,703,615,675
Electronics,Product_12,Oct/2022,932,902,971
Electronics,Product_12,Nov/2022,666,526,487
Electronics,Product_12,Dec/2022,855,1120,1039
Electronics,Product_12,Jan/2023,820,522,526
Electronics,Product_12,Feb/2023,1422,1603,1577
Electronics,Product_12,Mar/2023,566,503,476
Electronics,Product_12,Apr/2023,1947,1936,2015
Electronics,Product_12,May/2023,1429,1201,1276
Electronics,Product_12,Jun/2023,978,948,1008
Electronics,Product_12,Jul/2023,1707,1609,1617
Electronics,Product_12,Aug/2023,735,992,949
Electronics,Product_12,Sep/2023,1826,1678,1646
Electronics,Product_12,Oct/2023,791,564,479
Electronics,Product_12,Nov/2023,839,853,905
Electronics,Product_13,Jan/2022,1665,1660,1672
Electronics,Product_13,Jan/2022,754,933,1009
Electronics,Product_13,Mar/2022,1122,1234,1203
Electronics,Product_13,Apr/2022,1524,1776,1802
Electronics,Product_13,May/2022,1396,1178,1231
Electronics,Product_13,May/2022,581,723,811
Electronics,Product_13,Jun/2022,1160,1116,1022
Electronics,Product_13,Jul/2022,687,621,693
Electronics,Product_13,Aug/2022,1678,1399,1494
Electronics,Product_13,Sep/2022,1876,1851,1898
Electronics,Product_13,Oct/2022,582,461,481
Electronics,Product_13,Nov/2022,1562,1714,1685
Electronics,Product_13,Dec/2022,871,1170,1181
Electronics,Product_13,Jan/2023,1800,2003,1926
Electronics,Product_13,Feb/2023,1462,1518,1522
Electronics,Product_13,Mar/2023,1182,1210,1281
Electronics,Product_13,Apr/2023,714,578,562
Electronics,Product_13,May/2023,1343,1550,1523
Electronics,Product_13,Jun/2023,1856,1966,2060
Electronics,Product_13,Jul/2023,1626,1363,1379
Electronics,Product_13,Aug/2023,680,702,666
Electronics,Product_13,Sep/2023,1162,980,1077
Electronics,Product_13,Oct/2023,1327,1553,1453
Electronics,Product_13,Nov/2023,1846,2101,2119
Electronics,Product_14,Jan/2022,1346,1101,1049
Electronics,Product_14,Jan/2022,1561,1631,1690
Electronics,Product_14,Mar/2022,1520,1672,1766
Electronics,Product_14,Apr/2022,605,513,481
Electronics,Product_14,May/2022,1624,1458,1431
Electronics,Product_14,May/2022,1397,1593,1524
Electronics,Product_14,Jun/2022,559,504,585
Electronics,Product_14,Jul/2022,824,842,883
Electronics,Product_14,Aug/2022,528,793,797
Electronics,Product_14,Sep/2022,690,620,549
Electronics,Product_14,Oct/2022,1445,1265,1330
Electronics,Product_14,Nov/2022,815,1025,1108
Electronics,Product_14,Dec/2022,1097,1318,1398
Electronics,Product_14,Jan/2023,1059,1184,1207
Electronics,Product_14,Feb/2023,1467,1416,1432
Electronics,Product_14,Mar/2023,1628,1476,1474
Electronics,Product_14,Apr/2023,890,1110,1201
Electronics,Product_14,May/2023,779,550,520
Electronics,Product_14,Jun/2023,1349,1397,1426
Electronics,Product_14,Jul/2023,1047,749,721
Electronics,Product_14,Aug/2023,1986,1991,2041
Electronics,Product_14,Sep/2023,1687,1888,1826
Electronics,Product_14,Oct/2023,1414,1665,1688
Electronics,Product_14,Nov/2023,1206,1246,1287
Home & Kitchen,Product_15,Jan/2022,1612,1698,1714
Home & Kitchen,Product_15,Jan/2022,1159,1052,1130
Home & Kitchen,Product_15,Mar/2022,989,1274,1272
Home & Kitchen,Product_15,Apr/2022,978,1098,1009
Home & Kitchen,Product_15,May/2022,1151,1335,1415
Home & Kitchen,Product_15,May/2022,1280,1375,1444
Home & Kitchen,Product_15,Jun/2022,1835,1690,1716
Home & Kitchen,Product_15,Jul/2022,575,404,432
Home & Kitchen,Product_15,Aug/2022,1708,1747,1672
Home & Kitchen,Product_15,Sep/2022,1401,1203,1237
Home & Kitchen,Product_15,Oct/2022,1435,1150,1234
Home & Kitchen,Product_15,Nov/2022,795,914,981
Home & Kitchen,Product_15,Dec/2022,816,592,612
Home & Kitchen,Product_15,Jan/2023,1042,1088,1147
Home & Kitchen,Product_15,Feb/2023,1918,2025,2091
Home & Kitchen,Product_15,Mar/2023,664,700,772
Home & Kitchen,Product_15,Apr/2023,1592,1681,1662
Home & Kitchen,Product_15,May/2023,1783,1982,2020
Home & Kitchen,Product_15,Jun/2023,573,343,303
Home & Kitchen,Product_15,Jul/2023,1792,1786,1744
Home & Kitchen,Product_15,Aug/2023,685,829,754
Home & Kitchen,Product_15,Sep/2023,1797,1599,1612
Home & Kitchen,Product_15,Oct/2023,840,846,753
Home & Kitchen,Product_15,Nov/2023,594,626,540
Home & Kitchen,Product_16,Jan/2022,1100,1167,1162
Home & Kitchen,Product_16,Jan/2022,1382,1231,1193
Home & Kitchen,Product_16,Mar/2022,1587,1708,1752
Home & Kitchen,Product_16,Apr/2022,1896,1780,1723
Home & Kitchen,Product_16,May/2022,858,638,694
Home & Kitchen,Product_16,May/2022,1283,1229,1256
Home & Kitchen,Product_16,Jun/2022,1694,1540,1499
Home & Kitchen,Product_16,Jul/2022,1444,1404,1421
Home & Kitchen,Product_16,Aug/2022,1022,731,750
Home & Kitchen,Product_16,Sep/2022,1089,1348,1288
Home & Kitchen,Product_16,Oct/2022,651,803,791
Home & Kitchen,Product_16,Nov/2022,1703,1709,1772
Home & Kitchen,Product_16,Dec/2022,1368,1324,1340
Home & Kitchen,Product_16,Jan/2023,1118,1021,1019
Home & Kitchen,Product_16,Feb/2023,1489,1298,1258
Home & Kitchen,Product_16,Mar/2023,1281,1566,1557
Home & Kitchen,Product_16,Apr/2023,1677,1679,1758
Home & Kitchen,Product_16,May/2023,1104,826,894
Home & Kitchen,Product_16,Jun/2023,1310,1291,1193
Home & Kitchen,Product_16,Jul/2023,1659,1409,1464
Home & Kitchen,Product_16,Aug/2023,1517,1510,1608
Home & Kitchen,Product_16,Sep/2023,971,1031,987
Home & Kitchen,Product_16,Oct/2023,1803,1697,1755
Home & Kitchen,Product_16,Nov/2023,1013,853,913
Books,Product_17,Jan/2022,698,438,417
Books,Product_17,Jan/2022,1402,1136,1184
Books,Product_17,Mar/2022,1247,1081,1004
Books,Product_17,Apr/2022,1104,1138,1229
Books,Product_17,May/2022,1350,1229,1180
Books,Product_17,May/2022,770,1022,1015
Books,Product_17,Jun/2022,1587,1800,1769
Books,Product_17,Jul/2022,836,799,822
Books,Product_17,Aug/2022,1104,1150,1079
Books,Product_17,Sep/2022,1459,1236,1172
Books,Product_17,Oct/2022,962,1068,1110
Books,Product_17,Nov/2022,1249,1041,1042
Books,Product_17,Dec/2022,528,498,535
Books,Product_17,Jan/2023,753,918,912
Books,Product_17,Feb/2023,1877,1845,1894
Books,Product_17,Mar/2023,1280,1360,1287
Books,Product_17,Apr/2023,1882,1821,1841
Books,Product_17,May/2023,551,825,808
Books,Product_17,Jun/2023,1749,1675,1740
Books,Product_17,Jul/2023,629,804,883
Books,Product_17,Aug/2023,1118,1236,1165
Books,Product_17,Sep/2023,786,532,441
Books,Product_17,Oct/2023,1123,1327,1256
Books,Product_17,Nov/2023,699,639,676
Books,Product_18,Jan/2022,777,874,890
Books,Product_18,Jan/2022,1259,1512,1519
Books,Product_18,Mar/2022,1702,1560,1566
Books,Product_18,Apr/2022,1841,1642,1667
Books,Product_18,May/2022,1760,1877,1848
Books,Product_18,May/2022,567,646,601
Books,Product_18,Jun/2022,1408,1563,1523
Books,Product_18,Jul/2022,1242,1043,1118
Books,Product_18,Aug/2022,1252,1509,1574
Books,Product_18,Sep/2022,1234,996,997
Books,Product_18,Oct/2022,1065,959,890
Books,Product_18,Nov/2022,1431,1224,1293
Books,Product_18,Dec/2022,934,655,567
Books,Product_18,Jan/2023,1183,1132,1064
Books,Product_18,Feb/2023,1656,1566,1483
Books,Product_18,Mar/2023,1635,1547,1597
Books,Product_18,Apr/2023,942,880,864
Books,Product_18,May/2023,802,504,474
Books,Product_18,Jun/2023,796,629,667
Books,Product_18,Jul/2023,1013,891,819
Books,Product_18,Aug/2023,1853,1579,1512
Books,Product_18,Sep/2023,530,596,556
Books,Product_18,Oct/2023,1705,1736,1640
Books,Product_18,Nov/2023,856,827,740
Electronics,Product_19,Jan/2022,759,890,924
Electronics,Product_19,Jan/2022,732,497,518
Electronics,Product_19,Mar/2022,1418,1488,1519
Electronics,Product_19,Apr/2022,1715,1526,1541
Electronics,Product_19,May/2022,1531,1457,1514
Electronics,Product_19,May/2022,588,821,798
Electronics,Product_19,Jun/2022,1438,1169,1084
Electronics,Product_19,Jul/2022,1480,1591,1600
Electronics,Product_19,Aug/2022,1905,1715,1740
Electronics,Product_19,Sep/2022,1958,2112,2030
Electronics,Product_19,Oct/2022,665,694,749
Electronics,Product_19,Nov/2022,803,570,502
Electronics,Product_19,Dec/2022,1063,1362,1402
Electronics,Product_19,Jan/2023,1958,1990,1987
Electronics,Product_19,Feb/2023,1723,1966,1941
Electronics,Product_19,Mar/2023,1429,1646,1700
Electronics,Product_19,Apr/2023,1381,1182,1261
Electronics,Product_19,May/2023,734,998,1082
Electronics,Product_19,Jun/2023,940,1080,1095
Electronics,Product_19,Jul/2023,967,1090,1076
Electronics,Product_19,Aug/2023,1428,1536,1542
Electronics,Product_19,Sep/2023,1994,1791,1771
Electronics,Product_19,Oct/2023,1374,1394,1464
Electronics,Product_19,Nov/2023,1022,1105,1044
Books,Product_20,Jan/2022,1906,2091,2008
Books,Product_20,Jan/2022,686,473,396
Books,Product_20,Mar/2022,1384,1182,1272
Books,Product_20,Apr/2022,1263,1096,1138
Books,Product_20,May/2022,622,922,965
Books,Product_20,May/2022,1650,1687,1758
Books,Product_20,Jun/2022,750,870,860
Books,Product_20,Jul/2022,1862,1995,2079
Books,Product_20,Aug/2022,605,599,652
Books,Product_20,Sep/2022,1139,1199,1125
Books,Product_20,Oct/2022,1683,1902,1856
Books,Product_20,Nov/2022,816,1009,966
Books,Product_20,Dec/2022,721,779,821
Books,Product_20,Jan/2023,1252,1069,1164
Books,Product_20,Feb/2023,1070,1357,1314
Books,Product_20,Mar/2023,1378,1652,1748
Books,Product_20,Apr/2023,1773,2043,1949
Books,Product_20,May/2023,1747,1720,1627
Books,Product_20,Jun/2023,869,848,927
Books,Product_20,Jul/2023,1132,1179,1168
Books,Product_20,Aug/2023,512,397,333
Books,Product_20,Sep/2023,1659,1769,1686
Books,Product_20,Oct/2023,790,521,444
Books,Product_20,Nov/2023,1586,1506,1502
Home & Kitchen,Product_21,Jan/2022,1359,1523,1510
Home & Kitchen,Product_21,Jan/2022,822,900,879
Home & Kitchen,Product_21,Mar/2022,1977,2009,2107
Home & Kitchen,Product_21,Apr/2022,1662,1448,1361
Home & Kitchen,Product_21,May/2022,818,679,772
Home & Kitchen,Product_21,May/2022,1765,1515,1587
Home & Kitchen,Product_21,Jun/2022,667,645,658
Home & Kitchen,Product_21,Jul/2022,1855,1989,2013
Home & Kitchen,Product_21,Aug/2022,1743,1895,1901
Home & Kitchen,Product_21,Sep/2022,1059,979,1072
Home & Kitchen,Product_21,Oct/2022,1549,1365,1353
Home & Kitchen,Product_21,Nov/2022,1380,1193,1165
Home & Kitchen,Product_21,Dec/2022,1888,2086,2120
Home & Kitchen,Product_21,Jan/2023,1866,1881,1792
Home & Kitchen,Product_21,Feb/2023,951,1055,1108
Home & Kitchen,Product_21,Mar/2023,612,319,271
Home & Kitchen,Product_21,Apr/2023,1117,1033,1129
Home & Kitchen,Product_21,May/2023,781,742,716
Home & Kitchen,Product_21,Jun/2023,1171,993,894
Home & Kitchen,Product_21,Jul/2023,1518,1658,1602
Home & Kitchen,Product_21,Aug/2023,764,853,889
Home & Kitchen,Product_21,Sep/2023,1941,1876,1904
Home & Kitchen,Product_21,Oct/2023,1644,1706,1624
Home & Kitchen,Product_21,Nov/2023,1313,1056,1067
Books,Product_22,Jan/2022,538,708,627
Books,Product_22,Jan/2022,1141,1430,1439
Books,Product_22,Mar/2022,1674,1788,1869
Books,Product_22,Apr/2022,1811,1938,1912
Books,Product_22,May/2022,735,849,754
Books,Product_22,May/2022,1165,1040,1098
Books,Product_22,Jun/2022,1442,1512,1434
Books,Product_22,Jul/2022,1394,1202,1164
Books,Product_22,Aug/2022,1392,1502,1536
Books,Product_22,Sep/2022,661,766,745
Books,Product_22,Oct/2022,1195,1121,1106
Books,Product_22,Nov/2022,844,622,652
Books,Product_22,Dec/2022,1796,1612,1647
Books,Product_22,Jan/2023,1544,1442,1540
Books,Product_22,Feb/2023,1215,1274,1360
Books,Product_22,Mar/2023,1821,1672,1632
Books,Product_22,Apr/2023,710,559,524
Books,Product_22,May/2023,904,781,835
Books,Product_22,Jun/2023,813,590,535
Books,Product_22,Jul/2023,1786,1991,2009
Books,Product_22,Aug/2023,1654,1947,1961
Books,Product_22,Sep/2023,1894,2172,2236
Books,Product_22,Oct/2023,1801,1831,1891
Books,Product_22,Nov/2023,1147,1001,1013
Sports,Product_23,Jan/2022,639,819,832
Sports,Product_23,Jan/2022,1793,1803,1773
Sports,Product_23,Mar/2022,1711,1468,1458
Sports,Product_23,Apr/2022,1539,1314,1293
Sports,Product_23,May/2022,1445,1607,1516
Sports,Product_23,May/2022,616,693,666
Sports,Product_23,Jun/2022,657,449,506
Sports,Product_23,Jul/2022,1716,1935,1933
Sports,Product_23,Aug/2022,1447,1741,1782
Sports,Product_23,Sep/2022,584,744,790
Sports,Product_23,Oct/2022,1834,1726,1708
Sports,Product_23,Nov/2022,1739,1926,1954
Sports,Product_23,Dec/2022,808,571,586
Sports,Product_23,Jan/2023,711,762,844
Sports,Product_23,Feb/2023,672,888,953
Sports,Product_23,Mar/2023,853,593,556
Sports,Product_23,Apr/2023,1949,2097,2109
Sports,Product_23,May/2023,1573,1808,1864
Sports,Product_23,Jun/2023,825,897,892
Sports,Product_23,Jul/2023,1079,1175,1179
Sports,Product_23,Aug/2023,1192,945,1006
Sports,Product_23,Sep/2023,1825,1867,1783
Sports,Product_23,Oct/2023,1175,971,1013
Sports,Product_23,Nov/2023,1889,1984,1956
